epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
220,10626.4,0.29694,0.46318,0.22836,0.94483,0.87555,0.93177,0.63139,0.41904,0.42467,0.37049,0.0169914,0.0056638,0.0169914,0.0056638,0.0169914,0.0056638,0.0169914,0.0056638
28,1797.12,0.51311,0.64736,0.37278,0.83869,0.71998,0.78478,0.34613,0.63735,0.53181,0.66165,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
221,10689.7,0.29723,0.46114,0.22816,0.94313,0.878,0.93358,0.63413,0.41843,0.42368,0.36908,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
29,1860.24,0.49929,0.6461,0.37089,0.87308,0.7691,0.84201,0.44188,0.54497,0.52389,0.50985,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
30,1923.27,0.49246,0.64328,0.36943,0.88187,0.75386,0.83356,0.43213,0.54468,0.53823,0.49811,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
222,10753.1,0.29998,0.45813,0.2317,0.94327,0.88034,0.93385,0.63102,0.42101,0.42203,0.37252,0.0168726,0.0056242,0.0168726,0.0056242,0.0168726,0.0056242,0.0168726,0.0056242
223,10816.3,0.37705,0.49607,0.26689,0.94195,0.87718,0.9313,0.62803,0.42364,0.42222,0.37356,0.0168132,0.0056044,0.0168132,0.0056044,0.0168132,0.0056044,0.0168132,0.0056044
31,1986.72,0.48456,0.64882,0.3621,0.85045,0.77289,0.83305,0.38246,0.58737,0.52638,0.57368,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
224,10879.4,0.31461,0.46922,0.2358,0.94763,0.87555,0.93215,0.62359,0.42745,0.42691,0.37601,0.0167538,0.0055846,0.0167538,0.0055846,0.0167538,0.0055846,0.0167538,0.0055846
32,2049.93,0.47896,0.64124,0.3683,0.84375,0.74345,0.81349,0.40273,0.56844,0.526,0.5467,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
225,10942.7,0.28846,0.45805,0.22264,0.94818,0.87609,0.9322,0.62649,0.42638,0.4271,0.37405,0.0166944,0.0055648,0.0166944,0.0055648,0.0166944,0.0055648,0.0166944,0.0055648
33,2113.37,0.47798,0.63374,0.36229,0.8656,0.78396,0.85413,0.45837,0.52802,0.51529,0.48775,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
226,11005.9,0.28724,0.45571,0.22572,0.94939,0.87718,0.93687,0.63447,0.42007,0.4241,0.36475,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
34,2176.46,0.47603,0.63208,0.35698,0.87091,0.76037,0.82332,0.41465,0.54702,0.55176,0.53083,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
227,11068.9,0.28145,0.44796,0.22258,0.94748,0.87718,0.93554,0.63723,0.41785,0.42071,0.3633,0.0165756,0.0055252,0.0165756,0.0055252,0.0165756,0.0055252,0.0165756,0.0055252
35,2239.61,0.48312,0.62658,0.36255,0.86575,0.75331,0.82809,0.35956,0.61122,0.53646,0.61098,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
