epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
104,1802.57,1.29258,1.02273,1.4481,0.85847,0.7571,0.84994,0.57138,1.32321,0.86172,1.33813,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606
105,1819.21,1.27962,1.00717,1.43973,0.86887,0.78122,0.86215,0.57189,1.3383,0.82894,1.32512,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408
106,1840.37,1.2675,1.01305,1.43757,0.86374,0.75983,0.85265,0.58063,1.30105,0.84964,1.31891,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
107,1854.03,1.2897,1.00807,1.44609,0.85543,0.75257,0.84684,0.57558,1.26465,0.84879,1.30333,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012
108,1871.24,1.27389,1.00818,1.42607,0.85719,0.76666,0.85621,0.57438,1.29663,0.84576,1.32286,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814
109,1889.76,1.2742,1.00574,1.43346,0.87611,0.75654,0.85935,0.57147,1.32141,0.85191,1.33551,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616
110,1903.27,1.26589,0.98735,1.43411,0.87699,0.7631,0.86062,0.58163,1.32305,0.82385,1.32187,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418
111,1922.25,1.26997,0.99467,1.4352,0.87397,0.74563,0.845,0.5713,1.28326,0.83584,1.3,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
112,1939.74,1.27305,1.0098,1.4357,0.87512,0.75109,0.85616,0.5877,1.2697,0.82738,1.29413,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022
113,1953.26,1.26312,1.00267,1.43694,0.85401,0.75676,0.8524,0.57573,1.26915,0.84145,1.30622,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824
114,1972.46,1.2646,0.98126,1.42074,0.84856,0.7616,0.85457,0.58916,1.25461,0.82108,1.28669,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626
115,1990.54,1.25773,0.98762,1.42951,0.85274,0.76365,0.8577,0.58451,1.27625,0.81943,1.29535,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428
116,2005.96,1.2456,0.96928,1.41257,0.86535,0.77173,0.86664,0.593,1.28689,0.78693,1.28581,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
117,2025.23,1.26667,0.9892,1.42818,0.86779,0.76965,0.86394,0.59257,1.27239,0.79929,1.2886,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032
118,2038.58,1.25181,0.98145,1.42286,0.87439,0.7369,0.85478,0.58509,1.25898,0.8133,1.28986,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834
119,2056.89,1.27021,0.98586,1.42505,0.86537,0.76137,0.85351,0.58251,1.29498,0.80554,1.30327,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636
120,2073.5,1.26269,0.96489,1.40853,0.87641,0.76252,0.85534,0.60678,1.23693,0.78357,1.27594,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438
121,2088.59,1.24939,0.96585,1.41494,0.86507,0.76639,0.85454,0.59554,1.25195,0.81909,1.26824,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
122,2109.49,1.25096,0.96613,1.40749,0.86458,0.7631,0.85278,0.59676,1.22508,0.79373,1.265,0.0228126,0.0076042,0.0228126,0.0076042,0.0228126,0.0076042,0.0228126,0.0076042
123,2123.35,1.24667,0.9633,1.41275,0.88434,0.76365,0.86243,0.60165,1.23887,0.77951,1.27231,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844
124,2142.21,1.25602,0.96488,1.41971,0.85906,0.78002,0.86458,0.59932,1.23867,0.79243,1.27188,0.0226938,0.0075646,0.0226938,0.0075646,0.0226938,0.0075646,0.0226938,0.0075646
125,2158.54,1.25121,0.97892,1.41383,0.86407,0.76583,0.85846,0.59947,1.23961,0.79597,1.26687,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448
126,2178.22,1.24826,0.96425,1.41464,0.8564,0.76419,0.85553,0.60133,1.22267,0.80454,1.26318,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
127,2193.29,1.22017,0.94625,1.39957,0.84537,0.77293,0.86106,0.60331,1.2158,0.78139,1.25343,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052
128,2207.61,1.23297,0.95825,1.40702,0.87461,0.77669,0.86611,0.60875,1.20719,0.78154,1.25531,0.0224562,0.0074854,0.0224562,0.0074854,0.0224562,0.0074854,0.0224562,0.0074854
